n/alpha,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,41,51,61,81,101,121,Inf
0.25,1,0.816,0.765,0.741,0.727,0.718,0.711,0.706,0.703,0.7,0.697,0.695,0.694,0.692,0.691,0.69,0.689,0.688,0.688,0.687,0.686,0.686,0.685,0.685,0.684,0.684,0.684,0.683,0.683,0.683,0.681,0.679,0.679,0.678,0.677,0.677,0.674
0.2,1.376,1.08,0.978,0.941,0.92,0.906,0.896,0.889,0.883,0.879,0.876,0.873,0.87,0.868,0.866,0.865,0.863,0.862,0.861,0.86,0.859,0.858,0.858,0.857,0.856,0.856,0.855,0.855,0.854,0.854,0.851,0.849,0.848,0.846,0.845,0.845,0.842
0.15,1.963,1.386,1.25,1.19,1.156,1.134,1.119,1.108,1.1,1.093,1.088,1.083,1.079,1.076,1.074,1.071,1.069,1.067,1.066,1.064,1.063,1.061,1.06,1.059,1.058,1.058,1.057,1.056,1.055,1.055,1.05,1.047,1.045,1.043,1.042,1.041,1.036
0.1,3.078,1.886,1.638,1.533,1.476,1.44,1.415,1.397,1.383,1.372,1.363,1.356,1.35,1.345,1.341,1.337,1.333,1.33,1.328,1.325,1.323,1.321,1.319,1.318,1.316,1.315,1.314,1.313,1.311,1.31,1.303,1.299,1.296,1.292,1.29,1.289,1.282
0.05,6.314,2.92,2.353,2.132,2.015,1.943,1.895,1.86,1.833,1.812,1.796,1.782,1.771,1.761,1.753,1.746,1.74,1.734,1.729,1.725,1.721,1.717,1.714,1.711,1.708,1.706,1.703,1.701,1.699,1.697,1.684,1.676,1.671,1.664,1.66,1.658,1.645
0.025,12.71,4.303,3.182,2.776,2.571,2.447,2.365,2.306,2.262,2.228,2.201,2.179,2.16,2.145,2.131,2.12,2.11,2.101,2.093,2.086,2.08,2.074,2.069,2.064,2.06,2.056,2.052,2.048,2.045,2.042,2.021,2.009,2,1.99,1.984,1.98,1.96
0.01,31.82,6.965,4.541,3.747,3.365,3.143,2.998,2.896,2.821,2.764,2.718,2.681,2.65,2.624,2.602,2.583,2.567,2.552,2.539,2.528,2.518,2.508,2.5,2.492,2.485,2.479,2.473,2.467,2.462,2.457,2.423,2.403,2.39,2.374,2.364,2.358,2.326
0.005,63.66,9.925,5.841,4.604,4.032,3.707,3.499,3.355,3.25,3.169,3.106,3.055,3.012,2.977,2.947,2.921,2.898,2.878,2.861,2.845,2.831,2.819,2.807,2.797,2.787,2.779,2.771,2.763,2.756,2.75,2.704,2.678,2.66,2.639,2.626,2.617,2.576
0.0025,127.3,14.09,7.453,5.598,4.773,4.317,4.029,3.833,3.69,3.581,3.497,3.428,3.372,3.326,3.286,3.252,3.222,3.197,3.174,3.153,3.135,3.119,3.104,3.091,3.078,3.067,3.057,3.047,3.038,3.03,2.971,2.937,2.915,2.887,2.871,2.86,2.807
0.001,318.3,22.33,10.21,7.173,5.893,5.208,4.785,4.501,4.297,4.144,4.025,3.93,3.852,3.787,3.733,3.686,3.646,3.61,3.579,3.552,3.527,3.505,3.485,3.467,3.45,3.435,3.421,3.408,3.396,3.385,3.307,3.261,3.232,3.195,3.174,3.16,3.09
0.0005,636.6,31.6,12.92,8.61,6.869,5.959,5.408,5.041,4.781,4.587,4.437,4.318,4.221,4.14,4.073,4.015,3.965,3.922,3.883,3.85,3.819,3.792,3.767,3.745,3.725,3.707,3.69,3.674,3.659,3.646,3.551,3.496,3.46,3.416,3.39,3.373,3.291
